Local,ID,Region,Estado,Ciudad,Precio por unidad,Cantidad vendida,Total vendido,Ganacias,Margen de operacion,Tipo de venta,Genero,Tipo de ropa,Año,Mes,Dia
Foot Locker,1185732,Northeast,New York,New York,50,925,462500,161875,0.35,Outlet,Femenino,Calzado,2020,3,31
Walmart,1185732,Northeast,New York,New York,60,900,540000,162000,0.3,Outlet,Masculino,Vestir,2020,4,17
Walmart,1185732,Northeast,New York,New York,65,1075,698750,174687.5,0.25,Outlet,Femenino,Vestir,2020,4,18
Walmart,1185732,Northeast,New York,New York,60,1200,720000,360000,0.5,Outlet,Masculino,Calzado,2020,4,19
Walmart,1185732,Northeast,New York,New York,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet,Masculino,Calzado,2020,4,20
Walmart,1185732,Northeast,New York,New York,50,925,462500,161875,0.35,Outlet,Femenino,Calzado,2020,4,21
Walmart,1185732,Northeast,New York,New York,50,900,450000,157500,0.35,Outlet,Femenino,Calzado,2020,4,22
Walmart,1185732,Northeast,New York,New York,60,900,540000,162000,0.3,Outlet,Masculino,Vestir,2020,4,23
Walmart,1185732,Northeast,New York,New York,65,1000,650000,162500,0.25,Outlet,Femenino,Vestir,2020,4,24
Walmart,1185732,Northeast,New York,New York,65,875,568750,170625,0.3,Outlet,Masculino,Vestir,2020,4,25
Walmart,1185732,Northeast,New York,New York,70,1000,700000,175000,0.25,Outlet,Femenino,Vestir,2020,4,26
Walmart,1185732,Northeast,New York,New York,65,1150,747500,373750,0.5,Outlet,Masculino,Calzado,2020,4,27
Walmart,1185732,Northeast,New York,New York,55.00000000000001,975,536250.0000000001,160875.00000000003,0.3,Outlet,Masculino,Calzado,2020,4,28
Walmart,1185732,Northeast,New York,New York,55.00000000000001,920,506000.00000000006,177100,0.35,Outlet,Femenino,Calzado,2020,4,29
Walmart,1185732,Northeast,New York,New York,55.00000000000001,900,495000.00000000006,173250,0.35,Outlet,Femenino,Calzado,2020,4,30
Walmart,1185732,Northeast,New York,New York,65,875,568750,170625,0.3,Outlet,Masculino,Vestir,2020,5,1
Walmart,1185732,Northeast,New York,New York,70,975,682500,170625,0.25,Outlet,Femenino,Vestir,2020,5,2
Walmart,1185732,Northeast,New York,New York,65,1200,780000,390000,0.5,Outlet,Masculino,Calzado,2020,5,3
Walmart,1185732,Northeast,New York,New York,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet,Masculino,Calzado,2020,5,4
Walmart,1185732,Northeast,New York,New York,55.00000000000001,950,522500.00000000006,182875,0.35,Outlet,Femenino,Calzado,2020,5,5
Walmart,1185732,Northeast,New York,New York,55.00000000000001,900,495000.00000000006,173250,0.35,Outlet,Femenino,Calzado,2020,5,6
Walmart,1185732,Northeast,New York,New York,65,900,585000,175500,0.3,Outlet,Masculino,Vestir,2020,5,7
Walmart,1185732,Northeast,New York,New York,70,1000,700000,175000,0.25,Outlet,Femenino,Vestir,2020,7,18
Sports Direct,1197831,Northeast,New York,New York,25,900,225000,78750,0.35,Outlet,Masculino,Calzado,2020,7,19
Sports Direct,1197831,Northeast,New York,New York,35,900,315000,110250,0.35,Outlet,Masculino,Calzado,2020,7,20
Sports Direct,1197831,Northeast,New York,New York,35,700,245000,85750,0.35,Outlet,Femenino,Calzado,2020,7,21
Sports Direct,1197831,Northeast,New York,New York,35,700,245000,110250,0.45,Outlet,Femenino,Calzado,2020,7,22
Sports Direct,1197831,South,Texas,Houston,40,550,220000,66000,0.3,Outlet,Masculino,Vestir,2020,7,23
Sports Direct,1197831,South,Texas,Houston,35,700,245000,122500,0.5,Outlet,Femenino,Vestir,2020,7,24
Sports Direct,1197831,South,Texas,Houston,25,850,212500,74375,0.35,Outlet,Masculino,Calzado,2020,7,25
Sports Direct,1197831,South,Texas,Houston,35,850,297500,104125,0.35,Outlet,Masculino,Calzado,2020,7,26
Sports Direct,1197831,South,Texas,Houston,35,675,236250,82687.5,0.35,Outlet,Femenino,Calzado,2020,7,27
Sports Direct,1197831,South,Texas,Houston,35,625,218750,98437.5,0.45,Outlet,Femenino,Calzado,2020,7,28
Sports Direct,1197831,South,Texas,Houston,40,500,200000,60000,0.3,Outlet,Masculino,Vestir,2020,7,29
Sports Direct,1197831,South,Texas,Houston,35,700,245000,122500,0.5,Outlet,Femenino,Vestir,2020,7,30
Sports Direct,1197831,South,Texas,Houston,30,875,262500,91875,0.35,Outlet,Masculino,Calzado,2020,7,31
Sports Direct,1197831,South,Texas,Houston,40,875,350000,122499.99999999999,0.35,Outlet,Masculino,Calzado,2020,8,1
Sports Direct,1197831,South,Texas,Houston,35,700,245000,85750,0.35,Outlet,Femenino,Calzado,2020,8,2
Sports Direct,1197831,South,Texas,Houston,40,600,240000,108000,0.45,Outlet,Femenino,Calzado,2020,8,3
Sports Direct,1197831,South,Texas,Houston,45,500,225000,67500,0.3,Outlet,Masculino,Vestir,2020,8,4
Sports Direct,1197831,South,Texas,Houston,40,650,260000,130000,0.5,Outlet,Femenino,Vestir,2020,8,5
Sports Direct,1197831,South,Texas,Houston,30,900,270000,94500,0.35,Outlet,Masculino,Calzado,2020,8,6
Sports Direct,1197831,South,Texas,Houston,40,900,360000,125999.99999999999,0.35,Outlet,Masculino,Calzado,2020,8,7
Sports Direct,1197831,South,Texas,Houston,35,725,253750,88812.5,0.35,Outlet,Femenino,Calzado,2020,8,8
Sports Direct,1197831,South,Texas,Houston,40,625,250000,112500,0.45,Outlet,Femenino,Calzado,2020,8,9
Walmart,1197831,South,Texas,Houston,45,525,236250,70875,0.3,Outlet,Masculino,Vestir,2020,8,10
Walmart,1197831,South,Texas,Houston,40,800,320000,160000,0.5,Outlet,Femenino,Vestir,2020,8,11
Walmart,1197831,South,Texas,Houston,30,925,277500,97125,0.35,Outlet,Masculino,Calzado,2020,8,12
Walmart,1197831,South,Texas,Houston,40,925,370000,129499.99999999999,0.35,Outlet,Masculino,Calzado,2020,8,13
Walmart,1197831,South,Texas,Houston,35,775,271250,94937.5,0.35,Outlet,Femenino,Calzado,2020,8,14
Walmart,1197831,South,Texas,Houston,40,700,280000,126000,0.45,Outlet,Femenino,Calzado,2020,8,15
Walmart,1197831,South,Texas,Houston,45,600,270000,81000,0.3,Outlet,Masculino,Vestir,2020,8,16
Walmart,1197831,South,Texas,Houston,40,950,380000,190000,0.5,Outlet,Femenino,Vestir,2020,8,17
Walmart,1197831,South,Texas,Houston,40,950,380000,133000,0.35,Outlet,Masculino,Calzado,2020,8,18
Walmart,1197831,South,Texas,Houston,45,950,427500,149625,0.35,Outlet,Masculino,Calzado,2020,8,19
Walmart,1197831,South,Texas,Houston,40,800,320000,112000,0.35,Outlet,Femenino,Calzado,2020,8,20
Walmart,1197831,South,Texas,Houston,40,750,300000,135000,0.45,Outlet,Femenino,Calzado,2020,8,21
Walmart,1197831,South,Texas,Houston,45,650,292500,87750,0.3,Outlet,Masculino,Vestir,2020,8,22
Walmart,1197831,South,Texas,Houston,50,1000,500000,250000,0.5,Outlet,Femenino,Vestir,2020,8,23
Walmart,1197831,South,Texas,Houston,40,950,380000,133000,0.35,Outlet,Masculino,Calzado,2020,8,24
Walmart,1197831,South,Texas,Houston,45,950,427500,149625,0.35,Outlet,Masculino,Calzado,2020,8,25
Walmart,1197831,South,Texas,Houston,40,1100,440000,154000,0.35,Outlet,Femenino,Calzado,2020,8,26
Walmart,1197831,South,Texas,Houston,40,700,280000,126000,0.45,Outlet,Femenino,Calzado,2020,8,27
Walmart,1197831,South,Texas,Houston,45,700,315000,94500,0.3,Outlet,Masculino,Vestir,2020,8,28
Walmart,1197831,South,Texas,Houston,50,975,487500,243750,0.5,Outlet,Femenino,Vestir,2020,8,29
Walmart,1197831,South,Texas,Houston,40,925,370000,129499.99999999999,0.35,Outlet,Masculino,Calzado,2020,8,30
Walmart,1197831,South,Texas,Houston,45,925,416250,145687.5,0.35,Outlet,Masculino,Calzado,2020,8,31
Walmart,1197831,South,Texas,Houston,40,1100,440000,154000,0.35,Outlet,Femenino,Calzado,2020,9,1
Walmart,1197831,South,Texas,Houston,40,650,260000,117000,0.45,Outlet,Femenino,Calzado,2020,9,2
Walmart,1197831,South,Texas,Houston,45,650,292500,87750,0.3,Outlet,Masculino,Vestir,2020,9,3
Walmart,1197831,South,Texas,Houston,50,900,450000,225000,0.5,Outlet,Femenino,Vestir,2020,9,4
Walmart,1197831,South,Texas,Houston,45,850,382500,133875,0.35,Outlet,Masculino,Calzado,2020,9,5
Walmart,1197831,South,Texas,Houston,45,850,382500,133875,0.35,Outlet,Masculino,Calzado,2020,9,6
Walmart,1197831,South,Texas,Houston,50,900,450000,157500,0.35,Outlet,Femenino,Calzado,2020,9,7
Walmart,1197831,South,Texas,Houston,50,625,312500,140625,0.45,Outlet,Femenino,Calzado,2020,9,8
Walmart,1197831,South,Texas,Houston,45,625,281250,84375,0.3,Outlet,Masculino,Vestir,2020,9,9
Walmart,1197831,South,Texas,Houston,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet,Femenino,Vestir,2020,9,10
Walmart,1197831,South,Texas,Houston,45,800,360000,125999.99999999999,0.35,Outlet,Masculino,Calzado,2020,9,11
Walmart,1197831,South,Texas,Houston,45,800,360000,125999.99999999999,0.35,Outlet,Masculino,Calzado,2020,9,12
Walmart,1197831,South,Texas,Houston,50,750,375000,131250,0.35,Outlet,Femenino,Calzado,2020,9,13
Walmart,1197831,South,Texas,Houston,50,600,300000,135000,0.45,Outlet,Femenino,Calzado,2020,9,14
Walmart,1197831,South,Texas,Houston,45,575,258750,77625,0.3,Outlet,Masculino,Vestir,2020,9,15
Walmart,1197831,South,Texas,Houston,55.00000000000001,750,412500.00000000006,206250.00000000003,0.5,Outlet,Femenino,Vestir,2020,9,16
Walmart,1197831,South,Texas,Houston,45,900,405000,141750,0.35,Outlet,Masculino,Calzado,2020,10,20
Walmart,1197831,South,Texas,Houston,45,900,405000,141750,0.35,Outlet,Masculino,Calzado,2020,10,21
Walmart,1197831,South,Texas,Houston,50,825,412500,144375,0.35,Outlet,Femenino,Calzado,2020,10,22
Walmart,1197831,South,Texas,Houston,50,675,337500,151875,0.45,Outlet,Femenino,Calzado,2020,10,23
Walmart,1197831,South,Texas,Houston,45,650,292500,87750,0.3,Outlet,Masculino,Vestir,2020,10,24
Walmart,1197831,South,Texas,Houston,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet,Femenino,Vestir,2020,10,25
Walmart,1197831,South,Texas,Houston,45,950,427500,149625,0.35,Outlet,Masculino,Calzado,2020,10,26
Walmart,1197831,South,Texas,Houston,45,950,427500,149625,0.35,Outlet,Masculino,Calzado,2020,10,27
Walmart,1197831,South,Texas,Houston,50,850,425000,148750,0.35,Outlet,Femenino,Calzado,2020,10,28
Walmart,1197831,South,Texas,Houston,50,700,350000,157500,0.45,Outlet,Femenino,Calzado,2020,10,29
Walmart,1197831,South,Texas,Houston,45,650,292500,87750,0.3,Outlet,Masculino,Vestir,2020,10,30
Walmart,1197831,South,Texas,Houston,55.00000000000001,900,495000.00000000006,247500.00000000003,0.5,Outlet,Femenino,Vestir,2020,10,31
West Gear,1128299,South,Texas,Houston,40,775,310000,108500.00000000001,0.35000000000000003,Outlet,Masculino,Calzado,2020,11,1
West Gear,1128299,South,Texas,Houston,50,775,387500,77500,0.2,Outlet,Masculino,Calzado,2020,11,2
West Gear,1128299,South,Texas,Houston,50,775,387500,135625,0.35000000000000003,Outlet,Femenino,Calzado,2020,11,3
West Gear,1128299,South,Texas,Houston,50,625,312500,93750,0.3,Outlet,Femenino,Calzado,2020,11,4
West Gear,1128299,West,California,San Francisco,55.00000000000001,575,316250.00000000006,158125.00000000003,0.5,Outlet,Masculino,Vestir,2020,11,5
West Gear,1128299,West,California,San Francisco,50,775,387500,58125.00000000001,0.15000000000000002,Outlet,Femenino,Vestir,2020,11,6
West Gear,1128299,West,California,San Francisco,40,825,330000,115500.00000000001,0.35000000000000003,Outlet,Masculino,Calzado,2020,11,7
West Gear,1128299,West,California,San Francisco,50,725,362500,72500,0.2,Outlet,Masculino,Calzado,2020,11,8
West Gear,1128299,West,California,San Francisco,50,725,362500,126875.00000000001,0.35000000000000003,Outlet,Femenino,Calzado,2020,11,9
West Gear,1128299,West,California,San Francisco,50,575,287500,86250,0.3,Outlet,Femenino,Calzado,2020,11,10
West Gear,1128299,West,California,San Francisco,55.00000000000001,500,275000.00000000006,137500.00000000003,0.5,Outlet,Masculino,Vestir,2020,11,11
West Gear,1128299,West,California,San Francisco,50,700,350000,52500.00000000001,0.15000000000000002,Outlet,Femenino,Vestir,2020,11,12
West Gear,1128299,West,California,San Francisco,50,850,425000,148750,0.35000000000000003,Outlet,Masculino,Calzado,2020,11,13
West Gear,1128299,West,California,San Francisco,60,700,420000,84000,0.2,Outlet,Masculino,Calzado,2020,11,14
West Gear,1128299,West,California,San Francisco,60,700,420000,147000,0.35000000000000003,Outlet,Femenino,Calzado,2020,11,15
West Gear,1128299,West,California,San Francisco,60,600,360000,108000,0.3,Outlet,Femenino,Calzado,2020,12,22
West Gear,1128299,West,California,San Francisco,65,500,325000,162500,0.5,Outlet,Masculino,Vestir,2020,12,23
West Gear,1128299,West,California,San Francisco,60,700,420000,63000.00000000001,0.15000000000000002,Outlet,Femenino,Vestir,2020,12,24
West Gear,1128299,West,California,San Francisco,60,875,525000,183750.00000000003,0.35000000000000003,Outlet,Masculino,Calzado,2020,12,25
West Gear,1128299,West,California,San Francisco,65,675,438750,87750,0.2,Outlet,Masculino,Calzado,2020,12,26
West Gear,1128299,West,California,San Francisco,65,725,471250,164937.50000000003,0.35000000000000003,Outlet,Femenino,Calzado,2020,12,27
West Gear,1128299,West,California,San Francisco,60,625,375000,112500,0.3,Outlet,Femenino,Calzado,2020,12,28
West Gear,1128299,West,California,San Francisco,65,525,341250,170625,0.5,Outlet,Masculino,Vestir,2020,12,29
West Gear,1128299,West,California,San Francisco,80,700,560000,84000.00000000001,0.15000000000000002,Outlet,Femenino,Vestir,2020,12,30
West Gear,1128299,West,California,San Francisco,60,900,540000,216000,0.4,Outlet,Masculino,Calzado,2020,12,31
West Gear,1128299,West,California,San Francisco,65,750,487500,121875,0.25,Outlet,Masculino,Calzado,2021,1,1
West Gear,1128299,West,California,San Francisco,65,750,487500,195000,0.4,Outlet,Femenino,Calzado,2021,1,2
West Gear,1128299,West,California,San Francisco,60,650,390000,136500,0.35,Outlet,Femenino,Calzado,2021,1,3
West Gear,1128299,West,California,San Francisco,65,550,357500,196625.00000000003,0.55,Outlet,Masculino,Vestir,2021,1,4
West Gear,1128299,West,California,San Francisco,80,725,580000,116000,0.2,Outlet,Femenino,Vestir,2021,1,5
West Gear,1128299,West,California,San Francisco,60,975,585000,234000,0.4,Outlet,Masculino,Calzado,2021,1,6
West Gear,1128299,West,California,San Francisco,65,825,536250,134062.5,0.25,Outlet,Masculino,Calzado,2021,1,7
West Gear,1128299,West,California,San Francisco,65,825,536250,214500,0.4,Outlet,Femenino,Calzado,2021,1,8
West Gear,1128299,West,California,San Francisco,60,700,420000,147000,0.35,Outlet,Femenino,Calzado,2021,1,9
West Gear,1128299,West,California,San Francisco,65,575,373750,205562.50000000003,0.55,Outlet,Masculino,Vestir,2021,1,10
West Gear,1128299,West,California,San Francisco,80,875,700000,140000,0.2,Outlet,Femenino,Vestir,2021,1,11
West Gear,1128299,West,California,San Francisco,60,1025,615000,215250.00000000003,0.35000000000000003,Outlet,Masculino,Calzado,2021,1,12
West Gear,1128299,West,California,San Francisco,65,875,568750,113750,0.2,Outlet,Masculino,Calzado,2021,1,13
West Gear,1128299,West,California,San Francisco,65,825,536250,187687.50000000003,0.35000000000000003,Outlet,Femenino,Calzado,2021,1,14
West Gear,1128299,West,California,San Francisco,60,725,435000,130500,0.3,Outlet,Femenino,Calzado,2021,1,15
West Gear,1128299,West,California,San Francisco,65,775,503750,251875,0.5,Outlet,Masculino,Vestir,2021,1,16
West Gear,1128299,West,California,San Francisco,80,775,620000,93000.00000000001,0.15000000000000002,Outlet,Femenino,Vestir,2021,1,17
West Gear,1128299,West,California,San Francisco,65,975,633750,221812.50000000003,0.35000000000000003,Outlet,Masculino,Calzado,2021,1,18
West Gear,1128299,West,California,San Francisco,70,925,647500,129500,0.2,Outlet,Masculino,Calzado,2021,1,19
West Gear,1128299,West,California,San Francisco,65,800,520000,182000.00000000003,0.35000000000000003,Outlet,Femenino,Calzado,2021,1,20
West Gear,1128299,West,California,San Francisco,65,750,487500,146250,0.3,Outlet,Femenino,Calzado,2021,1,21
West Gear,1128299,West,California,San Francisco,75,750,562500,281250,0.5,Outlet,Masculino,Vestir,2021,1,22
West Gear,1128299,West,California,San Francisco,80,725,580000,87000.00000000001,0.15000000000000002,Outlet,Femenino,Vestir,2021,1,23
West Gear,1128299,West,California,San Francisco,55.00000000000001,925,508750.00000000006,152625.00000000003,0.30000000000000004,Outlet,Masculino,Calzado,2021,1,24
West Gear,1128299,West,California,San Francisco,60.00000000000001,925,555000.0000000001,83250.00000000001,0.15,Outlet,Masculino,Calzado,2021,1,25
West Gear,1128299,West,California,San Francisco,55.00000000000001,775,426250.00000000006,127875.00000000004,0.30000000000000004,Outlet,Femenino,Calzado,2021,1,26
West Gear,1128299,West,California,San Francisco,55.00000000000001,725,398750.00000000006,99687.5,0.24999999999999997,Outlet,Femenino,Calzado,2021,1,27
West Gear,1128299,West,California,San Francisco,65,725,471250,212062.50000000003,0.45000000000000007,Outlet,Masculino,Vestir,2021,1,28
West Gear,1128299,West,California,San Francisco,70,775,542500,54250,0.1,Outlet,Femenino,Vestir,2021,1,29
West Gear,1128299,West,California,San Francisco,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet,Masculino,Calzado,2021,1,30
West Gear,1128299,West,California,San Francisco,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet,Masculino,Calzado,2021,1,31
West Gear,1128299,West,California,San Francisco,55.00000000000001,700,385000.00000000006,115500.00000000003,0.30000000000000004,Outlet,Femenino,Calzado,2021,2,1
West Gear,1128299,West,California,San Francisco,55.00000000000001,675,371250.00000000006,92812.5,0.24999999999999997,Outlet,Femenino,Calzado,2021,2,2
West Gear,1128299,West,California,San Francisco,65,650,422500,190125.00000000003,0.45000000000000007,Outlet,Masculino,Vestir,2021,2,3
West Gear,1128299,West,California,San Francisco,70,700,490000,49000,0.1,Outlet,Femenino,Vestir,2021,2,4
West Gear,1128299,West,California,San Francisco,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet,Masculino,Calzado,2021,2,5
West Gear,1128299,West,California,San Francisco,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet,Masculino,Calzado,2021,2,6
West Gear,1128299,West,California,San Francisco,55.00000000000001,725,398750.00000000006,119625.00000000003,0.30000000000000004,Outlet,Femenino,Calzado,2021,2,7
West Gear,1128299,West,California,San Francisco,55.00000000000001,700,385000.00000000006,96250,0.24999999999999997,Outlet,Femenino,Calzado,2021,2,8
West Gear,1128299,West,California,San Francisco,65,650,422500,190125.00000000003,0.45000000000000007,Outlet,Masculino,Vestir,2021,2,9
West Gear,1128299,West,California,San Francisco,70,775,542500,54250,0.1,Outlet,Femenino,Vestir,2021,2,10
West Gear,1128299,West,California,San Francisco,55.00000000000001,975,536250.0000000001,160875.00000000006,0.30000000000000004,Outlet,Masculino,Calzado,2021,2,11
West Gear,1128299,West,California,San Francisco,60.00000000000001,975,585000.0000000001,87750.00000000001,0.15,Outlet,Masculino,Calzado,2021,2,12
West Gear,1128299,West,California,San Francisco,55.00000000000001,775,426250.00000000006,127875.00000000004,0.30000000000000004,Outlet,Femenino,Calzado,2021,2,13
West Gear,1128299,West,California,San Francisco,55.00000000000001,775,426250.00000000006,106562.5,0.24999999999999997,Outlet,Femenino,Calzado,2021,2,14
West Gear,1128299,West,California,San Francisco,65,700,455000,204750.00000000003,0.45000000000000007,Outlet,Masculino,Vestir,2021,2,15
West Gear,1128299,West,California,San Francisco,70,800,560000,56000,0.1,Outlet,Femenino,Vestir,2021,2,16
Kohl's,1189833,West,California,San Francisco,35,700,245000,98000,0.4,Outlet,Masculino,Calzado,2021,2,17
Kohl's,1189833,West,California,San Francisco,45,700,315000,78750,0.25,Outlet,Masculino,Calzado,2021,2,18
Kohl's,1189833,West,California,San Francisco,45,700,315000,126000,0.4,Outlet,Femenino,Calzado,2021,3,9
Kohl's,1189833,West,California,San Francisco,45,550,247500,86625,0.35,Outlet,Femenino,Calzado,2021,3,10
Kohl's,1189833,West,California,Los Angeles,50,500,250000,137500,0.55,Outlet,Masculino,Vestir,2021,3,11
Kohl's,1189833,West,California,Los Angeles,45,700,315000,63000,0.2,Outlet,Femenino,Vestir,2021,3,12
Kohl's,1189833,West,California,Los Angeles,35,750,262500,105000,0.4,Outlet,Masculino,Calzado,2021,3,13
Kohl's,1189833,West,California,Los Angeles,45,650,292500,73125,0.25,Outlet,Masculino,Calzado,2021,3,14
Kohl's,1189833,West,California,Los Angeles,45,675,303750,121500,0.4,Outlet,Femenino,Calzado,2021,3,15
Kohl's,1189833,West,California,Los Angeles,45,525,236250,82687.5,0.35,Outlet,Femenino,Calzado,2021,3,16
Kohl's,1189833,West,California,Los Angeles,50,450,225000,123750.00000000001,0.55,Outlet,Masculino,Vestir,2021,3,17
Kohl's,1189833,West,California,Los Angeles,45,650,292500,58500,0.2,Outlet,Femenino,Vestir,2021,3,18
Kohl's,1189833,West,California,Los Angeles,35,800,280000,112000,0.4,Outlet,Masculino,Calzado,2021,3,19
Kohl's,1189833,West,California,Los Angeles,45,650,292500,73125,0.25,Outlet,Masculino,Calzado,2021,3,20
Kohl's,1189833,West,California,Los Angeles,45,650,292500,117000,0.4,Outlet,Femenino,Calzado,2021,3,21
Kohl's,1189833,West,California,Los Angeles,45,550,247500,86625,0.35,Outlet,Femenino,Calzado,2021,3,22
Kohl's,1189833,West,California,Los Angeles,50,425,212500,116875.00000000001,0.55,Outlet,Masculino,Vestir,2021,3,23
Kohl's,1189833,West,California,Los Angeles,45,625,281250,56250,0.2,Outlet,Femenino,Vestir,2021,4,6
Kohl's,1189833,West,California,Los Angeles,45,800,360000,144000,0.4,Outlet,Masculino,Calzado,2021,4,7
